State,Metro,MetroCode,CountryCode
Minnesota,Duluth MN-Superior WI,676,US
Minnesota,Fargo-Valley City ND,724,US
Minnesota,La Crosse-Eau Claire WI,702,US
Minnesota,Mankato MN,737,US
Minnesota,Minneapolis-St. Paul MN,613,US
Minnesota,Rochester MN-Mason City IA-Austin MN,611,US
Minnesota,Sioux Falls(Mitchell) SD,725,US
Mississippi,Baton Rouge LA,716,US
Mississippi,Biloxi-Gulfport MS,746,US
Mississippi,Columbus-Tupelo-West Point MS,673,US
Mississippi,Greenwood-Greenville MS,647,US
Mississippi,Hattiesburg-Laurel MS,710,US
Mississippi,Jackson MS,718,US
Mississippi,Memphis TN,640,US
Mississippi,Meridian MS,711,US
Mississippi,Mobile AL-Pensacola (Ft. Walton Beach) FL,686,US
Mississippi,New Orleans LA,622,US
Missouri,Columbia-Jefferson City MO,604,US
Missouri,Des Moines-Ames IA,679,US
Missouri,Joplin MO-Pittsburg KS,603,US
Missouri,Kansas City MO,616,US
Missouri,Memphis TN,640,US
Missouri,Omaha NE,652,US
Missouri,Ottumwa IA-Kirksville MO,631,US
Missouri,Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,632,US
Missouri,Quincy IL-Hannibal MO-Keokuk IA,717,US
Missouri,Springfield MO,619,US
Missouri,St. Joseph MO,638,US
Missouri,St. Louis MO,609,US
Montana,Billings MT,756,US
Montana,Butte-Bozeman MT,754,US
Montana,Glendive MT,798,US
Montana,Great Falls MT,755,US
Montana,Helena MT,766,US
Montana,Minot-Bismarck-Dickinson(Williston) ND,687,US
Montana,Missoula MT,762,US
Montana,Rapid City SD,764,US
Montana,Spokane WA,881,US
Nebraska,Cheyenne WY-Scottsbluff NE,759,US
Nebraska,Lincoln & Hastings-Kearney NE,722,US
Nebraska,North Platte NE,740,US
Nebraska,Omaha NE,652,US
Nebraska,Rapid City SD,764,US
Nebraska,Sioux City IA,624,US
Nebraska,Wichita-Hutchinson KS,678,US
Nevada,Las Vegas NV,839,US
Nevada,Reno NV,811,US
Nevada,Salt Lake City UT,770,US
New Hampshire,Boston MA-Manchester NH,506,US
New Hampshire,Burlington VT-Plattsburgh NY,523,US
New Hampshire,Portland-Auburn ME,500,US
New Jersey,New York NY,501,US
New Jersey,Philadelphia PA,504,US
New Mexico,Albuquerque-Santa Fe NM,790,US
New Mexico,Amarillo TX,634,US
New Mexico,El Paso TX,765,US
New Mexico,Odessa-Midland TX,633,US
New York,Albany-Schenectady-Troy NY,532,US
New York,Binghamton NY,502,US
New York,Buffalo NY,514,US
New York,Burlington VT-Plattsburgh NY,523,US
New York,Elmira NY,565,US
New York,New York NY,501,US
New York,Rochester NY,538,US
New York,Syracuse NY,555,US
New York,Utica NY,526,US
New York,Watertown NY,549,US
North Carolina,Atlanta GA,524,US
North Carolina,Charlotte NC,517,US
North Carolina,Chattanooga TN,575,US
North Carolina,Florence-Myrtle Beach SC,570,US
North Carolina,Greensboro-High Point-Winston Salem NC,518,US
North Carolina,Greenville-New Bern-Washington NC,545,US
North Carolina,Greenville-Spartanburg SC-Asheville NC-Anderson SC,567,US
North Carolina,Norfolk-Portsmouth-Newport News VA,544,US
North Carolina,Raleigh-Durham (Fayetteville) NC,560,US
North Carolina,Wilmington NC,550,US
North Dakota,Fargo-Valley City ND,724,US
North Dakota,Minot-Bismarck-Dickinson(Williston) ND,687,US
Ohio,Charleston-Huntington WV,564,US
Ohio,Cincinnati OH,515,US
Ohio,Cleveland-Akron (Canton) OH,510,US
Ohio,Columbus OH,535,US
Ohio,Dayton OH,542,US
Ohio,Ft. Wayne IN,509,US
Ohio,Lima OH,558,US
Ohio,Parkersburg WV,597,US
Ohio,Toledo OH,547,US
Ohio,Wheeling WV-Steubenville OH,554,US
Ohio,Youngstown OH,536,US
Ohio,Zanesville OH,596,US
Oklahoma,Amarillo TX,634,US
Oklahoma,Ft. Smith-Fayetteville-Springdale-Rogers AR,670,US
Oklahoma,Joplin MO-Pittsburg KS,603,US
Oklahoma,Oklahoma City OK,650,US
Oklahoma,Sherman TX-Ada OK,657,US
Oklahoma,Shreveport LA,612,US
Oklahoma,Tulsa OK,671,US
Oklahoma,Wichita Falls TX & Lawton OK,627,US
Oregon,Bend OR,821,US
Oregon,Boise ID,757,US
Oregon,Eugene OR,801,US
Oregon,Medford-Klamath Falls OR,813,US
Oregon,Portland OR,820,US
Oregon,Spokane WA,881,US
Oregon,Yakima-Pasco-Richland-Kennewick WA,810,US
Pennsylvania,Buffalo NY,514,US
Pennsylvania,Elmira NY,565,US
Pennsylvania,Erie PA,516,US
Pennsylvania,Harrisburg-Lancaster-Lebanon-York PA,566,US
Pennsylvania,Johnstown-Altoona PA,574,US
Pennsylvania,New York NY,501,US
Pennsylvania,Philadelphia PA,504,US
Pennsylvania,Pittsburgh PA,508,US
Pennsylvania,Washington DC (Hagerstown MD),511,US
Pennsylvania,Wilkes Barre-Scranton PA,577,US
Pennsylvania,Youngstown OH,536,US
Rhode Island,Providence RI-New Bedford MA,521,US
South Carolina,Augusta GA,520,US
South Carolina,Charleston SC,519,US
South Carolina,Charlotte NC,517,US
South Carolina,Columbia SC,546,US
South Carolina,Florence-Myrtle Beach SC,570,US
South Carolina,Greenville-Spartanburg SC-Asheville NC-Anderson SC,567,US
South Carolina,Savannah GA,507,US
South Dakota,Minot-Bismarck-Dickinson(Williston) ND,687,US
South Dakota,Rapid City SD,764,US
South Dakota,Sioux City IA,624,US
South Dakota,Sioux Falls(Mitchell) SD,725,US
Tennessee,Chattanooga TN,575,US
Tennessee,Huntsville-Decatur (Florence) AL,691,US
Tennessee,Jackson TN,639,US
Tennessee,Knoxville TN,557,US
Tennessee,Memphis TN,640,US
Tennessee,Nashville TN,659,US
Tennessee,Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,632,US
Tennessee,Tri-Cities TN-VA,531,US
Texas,Abilene-Sweetwater TX,662,US
Texas,Amarillo TX,634,US
Texas,Austin TX,635,US
Texas,Beaumont-Port Arthur TX,692,US
Texas,Corpus Christi TX,600,US
Texas,Dallas-Ft. Worth TX,623,US
Texas,El Paso TX,765,US
Texas,Harlingen-Weslaco-Brownsville-McAllen TX,636,US
Texas,Houston TX,618,US
Texas,Laredo TX,749,US
Texas,Lubbock TX,651,US
Texas,Odessa-Midland TX,633,US
Texas,San Angelo TX,661,US
Texas,San Antonio TX,641,US
Texas,Sherman TX-Ada OK,657,US
Texas,Shreveport LA,612,US
Texas,Tyler-Longview(Lufkin & Nacogdoches) TX,709,US
Texas,Victoria TX,626,US
Texas,Waco-Temple-Bryan TX,625,US
Texas,Wichita Falls TX & Lawton OK,627,US
Utah,Salt Lake City UT,770,US
Vermont,Albany-Schenectady-Troy NY,532,US
Vermont,Boston MA-Manchester NH,506,US
Vermont,Burlington VT-Plattsburgh NY,523,US
Virginia,Bluefield-Beckley-Oak Hill WV,559,US
Virginia,Charlottesville VA,584,US
Virginia,Greensboro-High Point-Winston Salem NC,518,US
Virginia,Harrisonburg VA,569,US
Virginia,Norfolk-Portsmouth-Newport News VA,544,US
Virginia,Raleigh-Durham (Fayetteville) NC,560,US
Virginia,Richmond-Petersburg VA,556,US
Virginia,Roanoke-Lynchburg VA,573,US
Virginia,Tri-Cities TN-VA,531,US
Virginia,Washington DC (Hagerstown MD),511,US
Washington,Portland OR,820,US
Washington,Seattle-Tacoma WA,819,US
Washington,Spokane WA,881,US
Washington,Yakima-Pasco-Richland-Kennewick WA,810,US
West Virginia,Bluefield-Beckley-Oak Hill WV,559,US
West Virginia,Charleston-Huntington WV,564,US
West Virginia,Clarksburg-Weston WV,598,US
West Virginia,Harrisonburg VA,569,US
West Virginia,Parkersburg WV,597,US
West Virginia,Pittsburgh PA,508,US
West Virginia,Roanoke-Lynchburg VA,573,US
West Virginia,Washington DC (Hagerstown MD),511,US
West Virginia,Wheeling WV-Steubenville OH,554,US
Wisconsin,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,637,US
Wisconsin,Duluth MN-Superior WI,676,US
Wisconsin,Green Bay-Appleton WI,658,US
Wisconsin,La Crosse-Eau Claire WI,702,US
Wisconsin,Madison WI,669,US
Wisconsin,Marquette MI,553,US
Wisconsin,Milwaukee WI,617,US
Wisconsin,Minneapolis-St. Paul MN,613,US
Wisconsin,Wausau-Rhinelander WI,705,US
Wyoming,Billings MT,756,US
Wyoming,Casper-Riverton WY,767,US
Wyoming,Cheyenne WY-Scottsbluff NE,759,US
Wyoming,Idaho Falls-Pocatello ID,758,US
Wyoming,Rapid City SD,764,US
Wyoming,Salt Lake City UT,770,US
